Commodity,Market,Variety,Max,Avg,Min,Fetch_Date
Dry Chillies, Khammam,Red," ₹ 8,000"," ₹ 7,500"," ₹ 6,500",2025-12-02
Cotton, Khammam,Cotton (Unginned)," ₹ 7,000"," ₹ 6,500"," ₹ 4,500",2025-12-02
Green Gram (Moong)(Whole), Khammam,Local," ₹ 6,600"," ₹ 4,500"," ₹ 2,100",2025-12-02
Tomato, Khammam,Local," ₹ 3,000"," ₹ 2,000"," ₹ 2,000",2025-12-02
Arhar (Tur/Red Gram)(Whole), Khammam,Local," ₹ 5,800"," ₹ 5,800"," ₹ 5,800",2025-12-02
Maize, Khammam,Local," ₹ 2,000"," ₹ 2,000"," ₹ 1,800",2025-12-02
Dry Chillies, Khammam,Talu," ₹ 6,000"," ₹ 5,400"," ₹ 5,000",2025-12-02
Cowpea (Lobia/Karamani), Khammam,Cowpea (Whole)," ₹ 6,100"," ₹ 6,100"," ₹ 6,100",2025-12-02
