Commodity,Market,Variety,Max,Avg,Min,Fetch_Date
Beetroot, Warangal,Beetroot," ₹ 4,000"," ₹ 3,750"," ₹ 3,500",2025-12-02
Bhindi(Ladies Finger), Warangal,Bhindi," ₹ 5,000"," ₹ 4,750"," ₹ 4,500",2025-12-02
Bitter gourd, Warangal,Bitter Gourd," ₹ 4,000"," ₹ 3,750"," ₹ 3,500",2025-12-02
Brinjal, Warangal,Brinjal," ₹ 5,000"," ₹ 4,750"," ₹ 4,500",2025-12-02
Cabbage, Warangal,Cabbage," ₹ 2,500"," ₹ 2,250"," ₹ 2,000",2025-12-02
Capsicum, Warangal,Capsicum," ₹ 6,000"," ₹ 5,750"," ₹ 5,500",2025-12-02
Carrot, Warangal,Carrot," ₹ 6,000"," ₹ 5,750"," ₹ 5,500",2025-12-02
Cauliflower, Warangal,Cauliflower," ₹ 4,000"," ₹ 3,750"," ₹ 3,500",2025-12-02
Colacasia, Warangal,Colacasia," ₹ 3,000"," ₹ 2,750"," ₹ 2,500",2025-12-02
Cucumbar(Kheera), Warangal,Cucumbar," ₹ 2,500"," ₹ 2,250"," ₹ 2,000",2025-12-02
Field Pea, Warangal,Field Pea," ₹ 6,000"," ₹ 5,750"," ₹ 5,500",2025-12-02
French Beans (Frasbean), Warangal,French Beans (Frasbean)," ₹ 8,000"," ₹ 7,750"," ₹ 7,500",2025-12-02
Green Chilli, Warangal,Green Chilly," ₹ 6,000"," ₹ 5,750"," ₹ 5,500",2025-12-02
Potato, Warangal,Potato," ₹ 2,500"," ₹ 2,250"," ₹ 2,000",2025-12-02
Ridgeguard(Tori), Warangal,Ridgeguard(Tori)," ₹ 5,000"," ₹ 4,750"," ₹ 4,500",2025-12-02
Tomato, Warangal,Tomato," ₹ 2,000"," ₹ 1,800"," ₹ 1,600",2025-12-02
Grapes, Warangal,Black," ₹ 5,000"," ₹ 5,000"," ₹ 5,000",2025-12-02
Guava, Warangal,Guava," ₹ 3,300"," ₹ 3,300"," ₹ 3,300",2025-12-02
Orange, Warangal,Orange," ₹ 2,500"," ₹ 2,500"," ₹ 2,500",2025-12-02
Papaya, Warangal,Papaya," ₹ 2,000"," ₹ 2,000"," ₹ 2,000",2025-12-02
Pomegranate, Warangal,Pomogranate," ₹ 13,000"," ₹ 13,000"," ₹ 13,000",2025-12-02
Apple, Warangal,Delicious," ₹ 9,000"," ₹ 9,000"," ₹ 9,000",2025-12-02
Arhar (Tur/Red Gram)(Whole), Warangal,Local," ₹ 5,909"," ₹ 5,909"," ₹ 5,256",2025-12-02
Cotton, Warangal,Cotton (Unginned)," ₹ 6,920"," ₹ 6,300"," ₹ 5,000",2025-12-02
Dry Chillies, Warangal,1st Sort," ₹ 13,600"," ₹ 12,000"," ₹ 8,000",2025-12-02
Dry Chillies, Warangal,2nd Sort," ₹ 14,000"," ₹ 12,000"," ₹ 8,500",2025-12-02
Dry Chillies, Warangal,3rd Sort," ₹ 13,800"," ₹ 12,000"," ₹ 8,000",2025-12-02
Dry Chillies, Warangal,Talu," ₹ 7,000"," ₹ 5,000"," ₹ 4,500",2025-12-02
Groundnut, Warangal,Gungri (With Shell)," ₹ 6,500"," ₹ 6,500"," ₹ 3,500",2025-12-02
Maize, Warangal,Local," ₹ 1,876"," ₹ 1,601"," ₹ 1,329",2025-12-02
